Altium Designer Pick and Place Locations
D:\It's_work\Scope\Scope_evtA\Project Outputs for Scope_evtA\Pick Place Output\Pick Place for EVT_A(Solder_ADC).txt

========================================================================================================================
File Design Information:

Date:       06/04/24
Time:       22:52
Revision:   96a065bc237926ecf34b901cf5ad457e30612ea3
Variant:    Solder_ADC
Units used: mil

Designator Comment            Layer       Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
C58        0.1u               TopLayer    C0603           1610.236      1444.882      90       "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C57        1u                 BottomLayer C0603           1610.236      1444.882      90       "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
C56        1u                 TopLayer    C0603           830.709       1169.291      90       "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
C55        0.1u               TopLayer    C0603           909.449       1169.291      90       "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C52        10p                TopLayer    C0603           1098.425      1405.512      90       "50V 10pF C0G 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS

"                                  
C51        10p                TopLayer    C0603           1098.425      1255.906      270      "50V 10pF C0G 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS

"                                  
R28        "22 R"             TopLayer    R0603           1629.921      1055.118      270      "Res SMD
"                                                                                                
R24        "22 R"             TopLayer    R0603           1370.079      1055.118      270      "Res SMD
"                                                                                                
R22        "22 R"             TopLayer    R0603           1196.850      1055.118      270      "Res SMD
"                                                                                                
R27        "22 R"             TopLayer    R0603           1543.307      1055.118      270      "Res SMD
"                                                                                                
C42        0.1u               TopLayer    C0603           303.150       767.716       180      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C6         390p               BottomLayer C0603           740.157       551.181       0        "50V 390pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                               
C5         2.2n               BottomLayer C0603           807.087       625.984       0        "50V 2.2nF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS

"                             
R11        20k                BottomLayer R0603           177.165       688.976       90       "100mW Thick Film Resistors 75V ±5% 20kO 0603 Chip Resistor - Surface Mount ROHS
"                        
C24        0.1u               BottomLayer C0603           594.488       287.402       180      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C22        1u                 BottomLayer C0603           578.740       1448.819      180      "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
R12        10k                BottomLayer R0603           74.803        661.417       0        "100mW Thick Film Resistors 75V ±5% 10kO 0603 Chip Resistor - Surface Mount ROHS
"                        
R20        1M                 TopLayer    R0603           523.622       1346.457      270      "100mW ±25ppm/? ±0.1% 1MO 0603 Chip Resistor - Surface Mount ROHS"                                         
C27        0.1u               BottomLayer C0603           704.725       188.976       90       "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C25        1u                 BottomLayer C0603           539.370       94.488        90       "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
C23        4.7uF              BottomLayer C0603           594.488       208.661       180      "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
C21        1u                 BottomLayer C0603           303.150       1484.252      270      "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
C11        0.1u               BottomLayer C0603           1712.598      854.331       270      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
R6         1M                 BottomLayer R0603           1712.598      720.472       90       "100mW ±25ppm/? ±0.1% 1MO 0603 Chip Resistor - Surface Mount ROHS"                                         
R5         5k1                BottomLayer R0603           1633.858      720.472       90       "100mW Thick Film Resistors 75V ±1% 5.1kO 0603 Chip Resistor - Surface Mount ROHS"                         
R29        "22 R"             TopLayer    R0603           1716.535      1055.118      270      "Res SMD
"                                                                                                
C10        0.1u               TopLayer    C0603           818.898       744.095       270      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C9         0.1u               TopLayer    C0603           1401.575      677.165       0        "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C7         0.1u               TopLayer    C0603           1401.575      602.362       0        "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C20        0.1u               BottomLayer C0603           578.740       1527.559      0        "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
